"test","gene","padj","FoldChange"
"CD11b+.Nb.vs.PBS.down","Siglech_ENSMUSG00000051504",4.20119651049116e-33,0.082178369404507
"CD11b+.Nb.vs.PBS.down","AY036118_ENSMUSG00000045999",9.29643223693447e-24,0.0989613656190161
"CD11b+.Nb.vs.PBS.down","Ly6c2_ENSMUSG00000022584",6.916482537201e-17,0.140726186040235
"CD11b+.Nb.vs.PBS.down","Oaz1-ps_ENSMUSG00000043801",5.25652426684308e-18,0.14724615520266
"CD11b+.Nb.vs.PBS.down","Rpl10a-ps1_ENSMUSG00000084416",5.25652426684308e-18,0.150791533645982
"CD11b+.Nb.vs.PBS.down","Rpl28-ps1_ENSMUSG00000058603",2.31941369481437e-12,0.151915065963874
"CD11b+.Nb.vs.PBS.down","Cacna1e_ENSMUSG00000004110",1.36873069190809e-12,0.158224521391173
"CD11b+.Nb.vs.PBS.down","Rps3a2_ENSMUSG00000062611",3.12283690819106e-17,0.158764300599061
"CD11b+.Nb.vs.PBS.down","Rpl39-ps_ENSMUSG00000036305",6.69765759198395e-13,0.17815878491836
"CD11b+.Nb.vs.PBS.down","Mctp2_ENSMUSG00000032776",6.87284352209036e-11,0.201028368795677
"CD11b+.Nb.vs.PBS.down","mt-Nd4_ENSMUSG00000064363",1.74227190187886e-10,0.201574684926113
"CD11b+.Nb.vs.PBS.down","Slco4a1_ENSMUSG00000038963",7.73940214003485e-06,0.20251517098679
"CD11b+.Nb.vs.PBS.down","mt-Nd2_ENSMUSG00000064345",9.03183590538021e-13,0.210896873151171
"CD11b+.Nb.vs.PBS.down","Ly6d_ENSMUSG00000034634",1.80922885778237e-06,0.217359702488037
"CD11b+.Nb.vs.PBS.down","mt-Nd5_ENSMUSG00000064367",3.6093467331248e-12,0.219709177537257
"CD11b+.Nb.vs.PBS.down","Apol7b_ENSMUSG00000068252",8.13811974814502e-19,0.229693091560188
"CD11b+.Nb.vs.PBS.down","Igkc_ENSMUSG00000076609",2.7391338545092e-05,0.251871239737158
"CD11b+.Nb.vs.PBS.down","Rpgrip1_ENSMUSG00000057132",1.23459514651156e-05,0.258590592066136
"CD11b+.Nb.vs.PBS.down","Ccl21a_ENSMUSG00000094686",1.61276415528948e-07,0.264298689833295
"CD11b+.Nb.vs.PBS.down","Tpt1-ps3_ENSMUSG00000084319",5.33801403252105e-09,0.264319364603896
"CD11b+.Nb.vs.PBS.down","Rpl3-ps1_ENSMUSG00000084349",1.44614270835538e-08,0.271176884626241
"CD11b+.Nb.vs.PBS.down","Eldr_ENSMUSG00000087060",0.000505687521920427,0.272957591705366
"CD11b+.Nb.vs.PBS.down","Cnga2_ENSMUSG00000005864",0.00251926031350337,0.296697719852121
"CD11b+.Nb.vs.PBS.down","Vcp-rs_ENSMUSG00000083327",1.50303622911886e-09,0.297078840364167
"CD11b+.Nb.vs.PBS.down","mt-Nd6_ENSMUSG00000064368",8.96457345415169e-06,0.301829126268281
"TN.DBP+FITC.vs.UT.down","Nid1_ENSMUSG00000005397",1.48120739386953e-08,0.243586057987087
"TN.DBP+FITC.vs.UT.down","Gjb2_ENSMUSG00000046352",1.9497855649432e-07,0.246437789593266
"TN.DBP+FITC.vs.UT.down","Aph1c_ENSMUSG00000053040",2.25352093468804e-07,0.259886583835197
"TN.DBP+FITC.vs.UT.down","Il12b_ENSMUSG00000004296",3.10668618630875e-30,0.261260385238729
"TN.DBP+FITC.vs.UT.down","Nrxn1_ENSMUSG00000024109",2.51937286659645e-20,0.285640217420709
"TN.DBP+FITC.vs.UT.down","Ptgs2_ENSMUSG00000032487",1.62901475008169e-26,0.297986619569187
"TN.DBP+FITC.vs.UT.down","Aire_ENSMUSG00000000731",1.80601273853244e-14,0.318332312612803
"TN.DBP+FITC.vs.UT.down","Vps37b_ENSMUSG00000066278",8.08072231949889e-15,0.325676310305407
"TN.DBP+FITC.vs.UT.down","Vegfa_ENSMUSG00000023951",8.05511588605832e-07,0.329267436358302
"TN.DBP+FITC.vs.UT.down","Il1r2_ENSMUSG00000026073",2.37437820511531e-06,0.338833214160011
"TN.DBP+FITC.vs.UT.down","Smim3_ENSMUSG00000038059",1.11046343126895e-07,0.344831133300095
"TN.DBP+FITC.vs.UT.down","Nlrp3_ENSMUSG00000032691",8.27698768026657e-06,0.362728035586435
"TN.DBP+FITC.vs.UT.down","Rasgef1b_ENSMUSG00000029333",6.25654323024237e-19,0.363560579154525
"TN.DBP+FITC.vs.UT.down","Sik1_ENSMUSG00000024042",1.49478848148257e-11,0.366694191362779
"TN.DBP+FITC.vs.UT.down","Foxc1_ENSMUSG00000050295",0.000201752719114331,0.368849874773032
"TN.DBP+FITC.vs.UT.down","Klf10_ENSMUSG00000037465",6.43985446150898e-05,0.376909004380092
"TN.DBP+FITC.vs.UT.down","Atp1b1_ENSMUSG00000026576",4.81430062240393e-10,0.380112271161854
"TN.DBP+FITC.vs.UT.down","Maff_ENSMUSG00000042622",2.32332624209582e-08,0.38299712216178
"TN.DBP+FITC.vs.UT.down","Mki67_ENSMUSG00000031004",1.62901475008169e-26,0.386985358202955
"TN.DBP+FITC.vs.UT.down","Id3_ENSMUSG00000007872",0.00410787675675143,0.387307536169329
